City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
493,Gorontalo,ID,75.78,overcast clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
494,Roswell,US,70.0,clear sky,34.0232,-84.3616,La Quinta Inn & Suites by Wyndham Atlanta Roswell
497,Amapa,BR,79.93,moderate rain,1.0,-52.0,
499,Davila,PH,78.75,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
500,Bom Conselho,BR,78.75,broken clouds,-9.1697,-36.6797,Hotel Raízes
501,Ranong,TH,78.26,broken clouds,9.9658,98.6348,Tinidee Hotel@Ranong
503,Gweta,BW,81.46,clear sky,-20.1833,25.2333,Gweta Lodge
505,The Valley,AI,84.2,broken clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
509,Aswan,EG,75.43,clear sky,24.0934,32.907,Nuba Nile
510,Moyobamba,PE,70.92,overcast clouds,-6.05,-76.9667,LA CASA DE MI SUEÑO - Garden Home Lodge
513,Geraldton,AU,73.4,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
515,Mumford,GH,81.86,scattered clouds,5.2618,-0.759,Spanish Villa
517,Mandapeta,IN,77.97,broken clouds,16.8667,81.9333,Sri satyanarayana vilas kokas Lodge
518,Faya,SA,71.6,clear sky,18.3851,42.4509,مقبرة ال مجمل
519,Santa Catarina De Tepehuanes,MX,77.94,clear sky,25.35,-105.7333,hotel plaza
520,Rodrigues Alves,BR,84.2,broken clouds,-7.738,-72.6509,Pousada Aconchego
522,Siuna,NI,84.16,broken clouds,13.7332,-84.7773,hotel los chinitos
527,Lakhna,IN,83.34,clear sky,26.65,79.15,Jai bhole readymade garments
528,Eguia,PH,78.08,clear sky,15.9065,119.8858,Rosmin Nature's Hub Resort
530,Gopalpur,IN,78.78,clear sky,19.2667,84.9167,Swosti Palm Resort
536,Maracacume,BR,83.1,moderate rain,-2.0428,-45.9592,Hotel Ramos
540,Rocha,UY,77.95,few clouds,-34.4833,-54.3333,Beleza Pura B&B
543,Tibati,CM,81.05,scattered clouds,6.4667,12.6333,Tibati Hotel
545,Limbang,MY,78.8,broken clouds,4.75,115.0,Purnama Hotel
546,Weligama,LK,77.41,broken clouds,5.9667,80.4167,Weligama Bay Resort
547,Vanimo,PG,77.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
550,Samarai,PG,82.18,overcast clouds,-10.6167,150.6667,Nuli Sapi
551,Mareeba,AU,75.2,broken clouds,-17.0,145.4333,Trinity Plains Tourist Park
555,Fredericksburg,US,72.0,clear sky,38.3032,-77.4605,Courtyard by Marriott Fredericksburg Historic District
556,Ilhabela,BR,76.41,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
557,Thinadhoo,MV,83.41,scattered clouds,0.5333,72.9333,
559,Sao Joao Da Barra,BR,84.2,scattered clouds,-21.6403,-41.0511,Pousada Porto De Canoas
560,Caravelas,BR,81.95,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
561,Yenagoa,NG,83.12,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
563,Darnah,LY,77.18,clear sky,32.767,22.6367,فندق الفردوس
564,Hamilton,US,70.0,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
565,Acarau,BR,84.0,overcast clouds,-2.8856,-40.12,castelo pizzaria
568,Mersing,MY,79.25,broken clouds,2.4312,103.8405,Timotel Hotel
570,San Vicente,AR,82.69,broken clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
577,Ambanja,MG,76.42,light rain,-13.6833,48.45,Hotel Salama and Fast Food
579,Muisne,EC,80.6,light rain,0.6,-80.0333,Quinta Samay
580,Vao,NC,75.78,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
582,Manat,PH,82.4,broken clouds,7.5327,126.0173,Junora Inland Resort
583,General Pico,AR,82.92,clear sky,-35.6566,-63.7568,Hotel Malargue
584,Saint-Joseph,RE,78.8,clear sky,-21.3667,55.6167,"""Plantation Bed and Breakfast"
586,La Palma,US,70.0,broken clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
588,Charters Towers,AU,70.18,light rain,-20.1,146.2667,Cattleman's Rest Motor Inn
