City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
250,Deputatskiy,RU,69.3,139.9,-9.98,99,100,1.3,overcast clouds
251,Shubarkuduk,KZ,49.1447,56.4872,40.44,90,67,7.49,broken clouds
252,Ketchikan,US,55.3422,-131.6461,35.6,100,90,4.61,overcast clouds
253,Victoria,HK,22.2855,114.1577,73.0,90,97,1.01,overcast clouds
254,Manaquiri,BR,-3.3167,-60.35,89.6,66,40,3.44,scattered clouds
255,Moron,AR,-34.6534,-58.6198,80.01,50,40,5.75,scattered clouds
256,Broome,US,42.2506,-75.833,57.0,35,40,12.66,scattered clouds
257,Ossora,RU,59.2353,163.0719,13.6,93,100,24.7,snow
258,Trat,TH,12.5,102.5,80.01,99,100,1.97,overcast clouds
259,Aklavik,CA,68.2191,-135.0107,-5.8,77,75,10.36,broken clouds
260,Nelidovo,RU,56.2211,32.7774,30.24,90,93,4.92,overcast clouds
261,Sungaipenuh,ID,-2.0833,101.3833,63.63,84,100,1.61,heavy intensity rain
262,Esperance,AU,-33.8667,121.9,62.6,88,20,13.8,few clouds
263,Malkerns,SZ,-26.5667,31.1833,63.0,90,5,1.32,clear sky
264,Mayo,US,38.8876,-76.5119,66.99,36,1,12.66,clear sky
265,Dombarovskiy,RU,50.7587,59.5386,31.78,96,95,8.25,overcast clouds
266,Bulgan,MN,48.8125,103.5347,36.48,33,4,2.21,clear sky
267,Diapaga,BF,12.0708,1.7889,95.47,6,24,0.65,few clouds
268,Tsumeb,NA,-19.2333,17.7167,68.0,77,2,1.14,clear sky
269,Diffa,NE,13.3154,12.6113,87.12,9,0,7.74,clear sky
270,Qaqortoq,GL,60.7167,-46.0333,39.2,87,90,9.22,overcast clouds
271,Sawakin,SD,19.1059,37.3321,76.19,61,41,8.86,scattered clouds
272,Talcahuano,CL,-36.7167,-73.1167,57.2,82,90,11.5,overcast clouds
273,Mount Darwin,ZW,-16.7725,31.5838,66.72,59,0,3.8,clear sky
274,Kaberamaido,UG,1.7389,33.1594,68.86,89,99,5.95,light rain
275,Namtsy,RU,62.7161,129.6658,-14.8,70,0,6.71,clear sky
276,Sola,VU,-13.8833,167.55,80.35,80,99,21.03,overcast clouds
277,Laguna,US,38.421,-121.4238,60.01,62,1,4.85,clear sky
278,Havre-Saint-Pierre,CA,50.2334,-63.5986,37.4,100,90,14.97,mist
279,Auki,SB,-8.7676,160.7034,78.08,86,94,3.42,overcast clouds
280,Pacific Grove,US,36.6177,-121.9166,57.2,58,1,8.05,clear sky
281,Asau,RO,46.4333,26.4,39.99,50,100,3.49,overcast clouds
282,Komsomolets,KZ,53.7453,62.0708,33.28,99,100,4.9,overcast clouds
283,Boa Vista,BR,2.8197,-60.6733,89.6,51,75,9.22,broken clouds
284,Port-Gentil,GA,-0.7193,8.7815,84.2,79,20,11.5,light rain
285,Amarante Do Maranhao,BR,-5.5667,-46.7422,86.92,60,73,7.49,broken clouds
286,Taoudenni,ML,22.6783,-3.9836,97.2,10,20,14.72,few clouds
287,Stornoway,GB,58.2093,-6.3865,41.0,70,75,25.32,moderate rain
288,Mount Gambier,AU,-37.8333,140.7667,57.2,67,18,8.05,few clouds
289,Egvekinot,RU,66.3167,-179.1667,-12.59,81,98,4.74,overcast clouds
290,Krasnoselkup,RU,65.7,82.4667,33.1,97,100,15.14,overcast clouds
291,Guerrero Negro,MX,27.9769,-114.0611,68.11,60,2,12.68,clear sky
292,Whitianga,NZ,-36.8333,175.7,62.01,76,27,6.22,scattered clouds
293,Mogadishu,SO,2.0371,45.3438,82.58,77,77,12.59,broken clouds
294,Bowen,AU,-20.0167,148.2333,73.4,94,40,4.61,scattered clouds
295,Whyalla,AU,-33.0333,137.5833,64.4,94,0,8.05,moderate rain
296,Katobu,ID,-4.9408,122.5276,77.74,89,100,6.15,light rain
297,Ostersund,SE,63.1792,14.6357,42.8,52,0,14.97,clear sky
298,Teahupoo,PF,-17.8333,-149.2667,77.0,88,75,15.39,broken clouds
299,Viedma,AR,-40.8135,-62.9967,87.87,26,3,18.57,clear sky
300,Saint-Augustin,CA,51.226,-58.6502,36.1,99,99,16.11,overcast clouds
301,Caconde,BR,-21.5294,-46.6439,75.2,53,40,3.51,scattered clouds
302,Lander,US,42.833,-108.7307,66.0,16,1,5.75,clear sky
303,Daru,PG,-9.0763,143.2092,76.32,92,76,6.89,broken clouds
304,Sipe Sipe,BO,-17.45,-66.3833,62.6,77,75,6.91,broken clouds
305,Villa Maria,AR,-32.4075,-63.2402,82.0,53,80,1.99,broken clouds
306,Redwater,US,33.3582,-94.2544,68.0,49,90,5.75,overcast clouds
307,Lashio,MM,22.9333,97.75,67.8,56,100,1.92,overcast clouds
308,Arraial Do Cabo,BR,-22.9661,-42.0278,84.2,57,40,12.66,scattered clouds
309,Batar,RO,46.7,21.8167,45.0,45,0,11.5,clear sky
310,Roald,NO,62.5833,6.1333,32.0,80,75,23.02,light snow
311,Chernyshevskiy,RU,63.0128,112.4714,-22.83,100,68,4.12,broken clouds
312,Nalut,LY,30.3333,10.85,81.16,16,86,4.27,overcast clouds
313,Ballina,AU,-28.8667,153.5667,68.0,94,40,5.75,scattered clouds
314,Natal,BR,-5.795,-35.2094,84.2,79,40,12.66,scattered clouds
315,Huarmey,PE,-10.0681,-78.1522,76.66,71,63,10.36,broken clouds
316,Tautira,PF,-17.7333,-149.15,77.0,88,75,15.39,broken clouds
317,Sao Sebastiao,BR,-23.76,-45.4097,76.33,80,88,4.27,overcast clouds
318,Elvas,PT,38.8815,-7.1628,73.99,38,0,5.75,clear sky
319,Kobelyaky,UA,49.1489,34.1965,43.86,69,80,2.91,broken clouds
320,Trinidad,BO,-14.8333,-64.9,80.6,94,75,7.07,light rain
321,Katangli,RU,51.7102,143.2326,13.23,85,31,9.26,scattered clouds
322,Fortuna,US,40.5982,-124.1573,52.0,87,90,4.61,overcast clouds
323,Gayny,RU,60.3071,54.3241,16.86,97,78,2.98,broken clouds
